shift_id,cashier_id,counter_id,date,shift_type,transactions_processed,errors_occurred,peak_fatigue
SHF-20260901-CSH-001,CSH-001,1,2026-09-01,MORNING,7,1,0.49
SHF-20260901-CSH-002,CSH-002,2,2026-09-01,EVENING,13,5,0.66
SHF-20260901-CSH-003,CSH-003,3,2026-09-01,MORNING,10,0,0.615
SHF-20260901-CSH-004,CSH-004,4,2026-09-01,EVENING,7,1,0.57
SHF-20260902-CSH-001,CSH-001,1,2026-09-02,MORNING,12,5,0.645
SHF-20260902-CSH-002,CSH-002,2,2026-09-02,EVENING,13,3,0.58
SHF-20260902-CSH-003,CSH-003,3,2026-09-02,MORNING,5,2,0.46
SHF-20260902-CSH-004,CSH-004,4,2026-09-02,EVENING,7,0,0.49
SHF-20260903-CSH-001,CSH-001,1,2026-09-03,MORNING,0,0,0.0
SHF-20260903-CSH-002,CSH-002,2,2026-09-03,EVENING,12,1,0.565
SHF-20260903-CSH-003,CSH-003,3,2026-09-03,MORNING,7,0,0.57
SHF-20260903-CSH-004,CSH-004,4,2026-09-03,EVENING,11,1,0.55
