item_id,transaction_id,sequence,sku,product_name,quantity,unit_price,subtotal,discount_applied,is_void,error_type
TRX-20260901-000001-001,TRX-20260901-000001,1,SKU-4001,Sabun Mandi Lifebuoy Total 10 450ml,1,27500.0,27500.0,0.0,True,VOID_ITEM
TRX-20260901-000001-002,TRX-20260901-000001,2,SKU-3010,SilverQueen Cokelat Mede 58g,1,17000.0,17000.0,0.0,False,NONE
TRX-20260901-000001-003,TRX-20260901-000001,3,SKU-4005,Rexona Deodorant Roll On 45ml,1,20500.0,20500.0,0.0,True,VOID_ITEM
TRX-20260901-000001-004,TRX-20260901-000001,4,SKU-2002,Susu Ultra Milk Full Cream 1L,1,21500.0,21500.0,0.0,False,NONE
TRX-20260901-000001-005,TRX-20260901-000001,5,SKU-3003,Teh Pucuk Harum 350ml,2,4500.0,9000.0,0.0,False,NONE
TRX-20260901-000001-006,TRX-20260901-000001,6,SKU-3008,Taro Net Seaweed 65g,1,9800.0,9800.0,0.0,False,NONE
TRX-20260901-000001-007,TRX-20260901-000001,7,SKU-3006,Coca Cola 390ml,2,7500.0,15000.0,0.0,False,NONE
TRX-20260901-000002-001,TRX-20260901-000002,1,SKU-3007,Chitato Sapi Panggang 68g,1,12500.0,12500.0,0.0,False,NONE
TRX-20260901-000002-002,TRX-20260901-000002,2,SKU-1011,Sarden ABC Saus Tomat 155g,1,12000.0,12000.0,0.0,False,NONE
TRX-20260901-000002-003,TRX-20260901-000002,3,SKU-3002,Air Mineral Le Minerale 600ml,1,3800.0,3800.0,0.0,False,NONE
TRX-20260901-000002-004,TRX-20260901-000002,4,SKU-1008,Indomie Goreng Spesial 85g,1,3500.0,3500.0,0.0,False,NONE
TRX-20260901-000002-005,TRX-20260901-000002,5,SKU-1010,Sedaap Mie Goreng 90g,1,3400.0,3400.0,0.0,False,NONE
TRX-20260901-000002-006,TRX-20260901-000002,6,SKU-5004,Pembersih Lantai Super Pell 770ml,2,14500.0,29000.0,0.0,False,NONE
TRX-20260901-000002-007,TRX-20260901-000002,7,SKU-3008,Taro Net Seaweed 65g,2,9800.0,19600.0,0.0,False,NONE
TRX-20260901-000002-008,TRX-20260901-000002,8,SKU-1009,Indomie Kuah Ayam Bawang 69g,2,3400.0,6800.0,0.0,False,NONE
TRX-20260901-000002-009,TRX-20260901-000002,9,SKU-2004,Yakult Pack isi 5,2,11500.0,23000.0,0.0,False,NONE
TRX-20260901-000003-001,TRX-20260901-000003,1,SKU-4003,Pasta Gigi Pepsodent 190g,2,17000.0,34000.0,0.0,False,NONE
TRX-20260901-000003-002,TRX-20260901-000003,2,SKU-5006,Baterai ABC Alkaline AA 4s,1,21000.0,21000.0,0.0,False,NONE
TRX-20260901-000003-003,TRX-20260901-000003,3,SKU-1012,Kornet Sapi Pronas 198g,1,26000.0,26000.0,0.0,False,NONE
TRX-20260901-000003-004,TRX-20260901-000003,4,SKU-5001,Deterjen Rinso Anti Noda 770g,2,23000.0,46000.0,0.0,False,NONE
TRX-20260901-000003-005,TRX-20260901-000003,5,SKU-5002,Pewangi Pakaian Molto All in 1 720ml,2,24000.0,48000.0,0.0,False,NONE
TRX-20260901-000003-006,TRX-20260901-000003,6,SKU-4006,Paseo Facial Tissue 250 Sheets,2,16500.0,33000.0,0.0,False,NONE
TRX-20260901-000003-007,TRX-20260901-000003,7,SKU-1010,Sedaap Mie Goreng 90g,3,3400.0,10200.0,0.0,False,NONE
TRX-20260901-000003-008,TRX-20260901-000003,8,SKU-4002,Shampoo Sunsilk Black Shine 160ml,2,26000.0,52000.0,0.0,False,NONE
TRX-20260901-000003-009,TRX-20260901-000003,9,SKU-1003,Gula Pasir Gulaku 1kg,1,17500.0,17500.0,0.0,False,NONE
TRX-20260901-000004-001,TRX-20260901-000004,1,SKU-5005,Baygon Obat Nyamuk Semprot 600ml,1,42000.0,42000.0,0.0,False,NONE
TRX-20260901-000004-002,TRX-20260901-000004,2,SKU-5002,Pewangi Pakaian Molto All in 1 720ml,1,24000.0,24000.0,0.0,False,NONE
TRX-20260901-000004-003,TRX-20260901-000004,3,SKU-1002,Minyak Goreng Bimoli 2L,2,37500.0,75000.0,0.0,False,NONE
TRX-20260901-000004-004,TRX-20260901-000004,4,SKU-1011,Sarden ABC Saus Tomat 155g,2,12000.0,24000.0,0.0,False,NONE
TRX-20260901-000004-005,TRX-20260901-000004,5,SKU-1010,Sedaap Mie Goreng 90g,1,3400.0,3400.0,0.0,False,NONE
TRX-20260901-000004-006,TRX-20260901-000004,6,SKU-2001,Telur Ayam Negeri 1kg,2,31000.0,62000.0,0.0,False,NONE
TRX-20260901-000004-007,TRX-20260901-000004,7,SKU-1007,Saus Sambal ABC 335ml,3,17500.0,52500.0,0.0,False,NONE
TRX-20260901-000004-008,TRX-20260901-000004,8,SKU-4004,Sikat Gigi Formula Double Action 3s,2,15500.0,31000.0,0.0,False,NONE
TRX-20260901-000004-009,TRX-20260901-000004,9,SKU-1012,Kornet Sapi Pronas 198g,5,26000.0,130000.0,0.0,False,NONE
TRX-20260901-000004-010,TRX-20260901-000004,10,SKU-1008,Indomie Goreng Spesial 85g,1,3500.0,3500.0,0.0,False,NONE
TRX-20260901-000004-011,TRX-20260901-000004,11,SKU-1006,Kecap Manis Bango 520ml,2,25500.0,51000.0,0.0,False,NONE
TRX-20260901-000004-012,TRX-20260901-000004,12,SKU-4007,Minyak Telon My Baby 90ml,2,28000.0,56000.0,0.0,False,NONE
TRX-20260901-000005-001,TRX-20260901-000005,1,SKU-5006,Baterai ABC Alkaline AA 4s,1,21000.0,21000.0,0.0,False,NONE
TRX-20260901-000005-002,TRX-20260901-000005,2,SKU-1012,Kornet Sapi Pronas 198g,2,26000.0,52000.0,0.0,False,NONE
TRX-20260901-000005-003,TRX-20260901-000005,3,SKU-4002,Shampoo Sunsilk Black Shine 160ml,2,26000.0,52000.0,0.0,False,NONE
TRX-20260901-000005-004,TRX-20260901-000005,4,SKU-4007,Minyak Telon My Baby 90ml,2,28000.0,56000.0,0.0,False,NONE
TRX-20260901-000005-005,TRX-20260901-000005,5,SKU-4006,Paseo Facial Tissue 250 Sheets,1,16500.0,16500.0,0.0,False,NONE
TRX-20260901-000005-006,TRX-20260901-000005,6,SKU-1003,Gula Pasir Gulaku 1kg,3,17500.0,52500.0,0.0,False,NONE
TRX-20260901-000005-007,TRX-20260901-000005,7,SKU-4004,Sikat Gigi Formula Double Action 3s,5,15500.0,77500.0,0.0,False,NONE
TRX-20260901-000005-008,TRX-20260901-000005,8,SKU-1001,Beras Pandan Wangi 5kg,5,78500.0,392500.0,0.0,False,NONE
TRX-20260901-000005-009,TRX-20260901-000005,9,SKU-1005,Garam Dapur Cap Kapal 250g,2,5000.0,10000.0,0.0,False,NONE
