transaction_id,store_id,cashier_id,customer_id,timestamp,payment_method,total_amount,item_count,has_error
TRX-20260901-000001,STR-001,CSH-003,CUST-00001,2026-09-01 08:00:46,QRIS,24000.0,1,False
TRX-20260901-000002,STR-001,CSH-003,CUST-00002,2026-09-01 09:22:11,QRIS,11500.0,1,False
TRX-20260901-000003,STR-001,CSH-003,CUST-00003,2026-09-01 10:47:15,CREDIT,8000.0,1,False
TRX-20260901-000004,STR-001,CSH-001,CUST-00004,2026-09-01 11:44:16,QRIS,33800.0,2,False
TRX-20260901-000005,STR-001,CSH-001,CUST-00005,2026-09-01 11:29:32,DEBIT,95800.0,6,False
TRX-20260901-000006,STR-001,CSH-001,CUST-00006,2026-09-01 11:05:44,QRIS,32000.0,2,False
TRX-20260901-000007,STR-001,CSH-003,CUST-00007,2026-09-01 11:59:09,QRIS,21500.0,1,False
TRX-20260901-000008,STR-001,CSH-003,CUST-00008,2026-09-01 11:47:36,CASH,85000.0,6,False
TRX-20260901-000009,STR-001,CSH-003,CUST-00009,2026-09-01 11:02:22,CREDIT,516500.0,16,False
TRX-20260901-000010,STR-001,CSH-003,CUST-00010,2026-09-01 11:42:54,CREDIT,968700.0,18,False
TRX-20260901-000011,STR-001,CSH-001,CUST-00011,2026-09-01 12:49:59,CREDIT,42600.0,4,True
TRX-20260901-000012,STR-001,CSH-001,CUST-00012,2026-09-01 13:51:38,QRIS,972500.0,20,True
TRX-20260901-000013,STR-001,CSH-003,CUST-00013,2026-09-01 13:37:02,QRIS,16500.0,1,False
TRX-20260901-000014,STR-001,CSH-001,CUST-00014,2026-09-01 13:13:59,QRIS,17000.0,1,False
TRX-20260901-000015,STR-001,CSH-003,CUST-00015,2026-09-01 13:02:02,CASH,11000.0,1,False
TRX-20260901-000016,STR-001,CSH-001,CUST-00016,2026-09-01 13:45:36,QRIS,45300.0,4,False
TRX-20260901-000017,STR-001,CSH-003,CUST-00017,2026-09-01 14:11:23,DEBIT,75000.0,6,False
TRX-20260901-000018,STR-001,CSH-002,CUST-00018,2026-09-01 15:39:39,CASH,31500.0,2,True
TRX-20260901-000019,STR-001,CSH-002,CUST-00019,2026-09-01 15:57:31,CASH,65000.0,5,False
TRX-20260901-000020,STR-001,CSH-004,CUST-00020,2026-09-01 16:24:10,CREDIT,43500.0,2,False
TRX-20260901-000021,STR-001,CSH-002,CUST-00021,2026-09-01 16:28:46,DEBIT,11500.0,2,False
TRX-20260901-000022,STR-001,CSH-002,CUST-00022,2026-09-01 16:33:04,QRIS,85300.0,6,True
TRX-20260901-000023,STR-001,CSH-002,CUST-00023,2026-09-01 16:31:05,DEBIT,112300.0,7,False
TRX-20260901-000024,STR-001,CSH-002,CUST-00024,2026-09-01 17:26:34,CASH,106000.0,8,False
TRX-20260901-000025,STR-001,CSH-002,CUST-00025,2026-09-01 17:12:28,CASH,35700.0,5,False
TRX-20260901-000026,STR-001,CSH-004,CUST-00026,2026-09-01 17:10:11,CASH,141300.0,8,True
